Date,Close,Predictions
2023-01-12,46.58000183,47.35842004151898
2023-01-13,47.49000168,47.60865669686578
2023-01-17,45.70999908,48.29896830812852
2023-01-18,44.97000122,48.03497273114707
2023-01-19,44.63999939,47.396990851565036
2023-01-20,44.72999954,46.38770885010398
2023-01-23,44.81999969,47.09612775436284
2023-01-24,44.15000153,47.46672996554632
2023-01-25,44.59000015,47.33403814364168
2023-01-26,43.61000061,47.323806772844875
2023-01-27,43.77999878,46.8591541163287
2023-01-30,43.40000153,47.03138955824336
2023-01-31,42.70000076,46.573885058162304
2023-02-01,43.40999985,46.5631783326362
2023-02-02,43.5,46.62992922565602
2023-02-03,43.88000107,46.973590145350336
2023-02-06,43.72999954,47.54497505999373
2023-02-07,43.25,47.28742623919837
2023-02-08,43.52999878,47.00739655171475
2023-02-09,43.24000168,46.82164878327786
2023-02-10,43.25999832,46.774232730621996
2023-02-13,43.50999832,46.94614364406323
2023-02-14,43.58000183,46.91716329015856
2023-02-15,43.11000061,47.15435095413934
2023-02-16,42.77000046,46.96314009586892
2023-02-17,42.58000183,46.54451775154977
2023-02-21,42.61999893,46.267921784688276
2023-02-22,42.31000137,46.41627937533909
2023-02-23,42.22000122,46.398243036597016
2023-02-24,41.50999832,46.356350559368295
