Symbol,Date,Open,High,Low,Close,Adj Close,Volume
META,5/26/22,182.880005,192.8300018,182.2599945,191.6300049,191.6300049,23056500
META,5/27/22,191.360001,195.3300018,189.8000031,195.1300049,195.1300049,22562700
META,5/31/22,194.889999,197.6000061,192.0099945,193.6399994,193.6399994,26131100
META,6/1/22,196.509995,199.5299988,185,188.6399994,188.6399994,36623500
META,6/2/22,188.449997,200.9400024,187.7299957,198.8600006,198.8600006,31951600
META,6/3/22,195.979996,196.6100006,189.7799988,190.7799988,190.7799988,19465000
META,6/6/22,193.990005,196.9199982,188.3999939,194.25,194.25,30574200
META,6/7/22,191.929993,196.5299988,191.4900055,195.6499939,195.6499939,18828700
META,6/8/22,194.669998,202.0299988,194.4100037,196.6399994,196.6399994,22267200
META,6/9/22,194.279999,199.4499969,183.6799927,184,184,23501600
META,6/10/22,183.039993,183.1000061,175.0200043,175.5700073,175.5700073,27450800
META,6/13/22,170.589996,172.5800018,164.0299988,164.2599945,164.2599945,31749300
META,6/14/22,166.029999,166.75,161.3600006,163.7299957,163.7299957,27244300
META,6/15/22,167.199997,172.1600037,163.9799957,169.3500061,169.3500061,30008300
META,6/16/22,163.720001,165.0800018,159.6100006,160.8699951,160.8699951,26944100
META,6/17/22,161.679993,165.8999939,159.8999939,163.7400055,163.7400055,31374200
META,6/21/22,165.929993,167.7599945,155.9700012,157.0500031,157.0500031,50724900
META,6/22/22,158.380005,160.7899933,155.4400024,155.8500061,155.8500061,47267800
META,6/23/22,156.270004,159.75,154.25,158.75,158.75,40499200
META,6/24/22,161.729996,170.25,161.3000031,170.1600037,170.1600037,68736000
META,6/27/22,171.320007,171.75,168.0099945,169.4900055,169.4900055,29174600
META,6/28/22,169.899994,171.3000031,160.6100006,160.6799927,160.6799927,27744500
META,6/29/22,163.570007,166.3300018,160.3200073,163.9400024,163.9400024,28595200
META,6/30/22,162.149994,165.2299957,158.4900055,161.25,161.25,35250600
META,7/1/22,160.309998,160.6199951,155,160.0299988,160.0299988,31423900
META,7/5/22,158.139999,168.25,157.0200043,168.1900024,168.1900024,28618600
META,7/6/22,168.199997,171.5899963,165.4600067,169.7700043,169.7700043,23085900
META,7/7/22,169.449997,172.7200012,167.7799988,172.1900024,172.1900024,24083400
META,7/8/22,169.979996,172.3999939,168.1499939,170.8800049,170.8800049,19249200
META,7/11/22,167.070007,167.4900055,161.9100037,162.8800049,162.8800049,21885600
META,7/12/22,164.800003,165.9100037,162.1000061,163.2700043,163.2700043,16639700
META,7/13/22,160.160004,164.9799957,159.6100006,163.4900055,163.4900055,16555100
META,7/14/22,161.220001,162.5899963,157.2799988,158.0500031,158.0500031,23765200
META,7/15/22,160.539993,164.9799957,159.8200073,164.6999969,164.6999969,23342800
META,7/18/22,166.75,171.6900024,165.6399994,167.2299957,167.2299957,23574300
META,7/19/22,170.369995,176.4900055,169.5099945,175.7799988,175.7799988,25933700
META,7/20/22,177.490005,183.6000061,176.6999969,183.0899963,183.0899963,24784300
META,7/21/22,180.630005,183.8500061,178.8699951,183.1699982,183.1699982,27195800
META,7/22/22,173.070007,175.6000061,168.4100037,169.2700043,169.2700043,42583900
META,7/25/22,169,170.5700073,164.8099976,166.6499939,166.6499939,26166300
META,7/26/22,165.940002,166,157.9499969,159.1499939,159.1499939,28468400
META,7/27/22,162.589996,170.8699951,162.0200043,169.5800018,169.5800018,43846600
META,7/28/22,161.059998,161.5099945,154.8500061,160.7200012,160.7200012,73214300
META,7/29/22,157.690002,160.1399994,155.1699982,159.1000061,159.1000061,42065400
META,8/1/22,157.25,165.1900024,155.2299957,159.9299927,159.9299927,40596700
META,8/2/22,158.309998,162.2400055,158.0099945,160.1900024,160.1900024,27374500
META,8/3/22,162.690002,169.5399933,161.5700073,168.8000031,168.8000031,31721900
META,8/4/22,168.300003,172.1499939,166.8000031,170.5700073,170.5700073,23938200
META,8/5/22,166.990005,171.6100006,165.8000031,167.1100006,167.1100006,25832700
META,8/8/22,168,177.5099945,167.1300049,170.25,170.25,27299100
META,8/9/22,168.949997,169.5299988,166.6000061,168.5299988,168.5299988,18655100
META,8/10/22,175.990005,180.4799957,173.9499969,178.3399963,178.3399963,30262100
META,8/11/22,179.710007,183.1000061,176.3699951,177.4900055,177.4900055,24079100
META,8/12/22,180.809998,181.4600067,178.9100037,180.5,180.5,21274000
META,8/15/22,178.960007,181.4400024,178.1999969,180.8899994,180.8899994,15878700
META,8/16/22,179.440002,180.9900055,177.0399933,179.4700012,179.4700012,21156700
META,8/17/22,176.759995,178.1399994,174.1699982,174.8500061,174.8500061,20118100
META,8/18/22,174.339996,175.7599945,171.8600006,174.6600037,174.6600037,18844500
META,8/19/22,170.199997,172.3200073,167.0500031,167.9600067,167.9600067,26240800
META,8/22/22,165.490005,165.4900055,162.2599945,163.0500031,163.0500031,19499700
META,8/23/22,162.479996,165.0500031,160.6999969,161.1100006,161.1100006,18111800
META,8/24/22,160.600006,165.4600067,159.7700043,163.2599945,163.2599945,20891500
META,8/25/22,165.179993,168.8800049,164.0200043,168.7799988,168.7799988,15550500
META,8/26/22,168.479996,170.9199982,161.6699982,161.7799988,161.7799988,24023600
META,8/29/22,160.660004,163.0500031,159.0099945,159.1699982,159.1699982,20052700
META,8/30/22,160.350006,161.6600037,155.9100037,157.1600037,157.1600037,19567900
META,8/31/22,167.070007,167.8399963,162.1399994,162.9299927,162.9299927,40953000
META,9/1/22,163.580002,167.3600006,160.3500061,165.3600006,165.3600006,30145700
META,9/2/22,167.449997,167.9299927,159.2200012,160.3200073,160.3200073,22634200
META,9/6/22,160.100006,161.6900024,157.6900024,158.5399933,158.5399933,19339800
META,9/7/22,157.759995,160.9600067,156.8099976,160.3899994,160.3899994,16831200
META,9/8/22,158.710007,162.2299957,157.7400055,162.0599976,162.0599976,22530800
META,9/9/22,163.25,169.5399933,163.0200043,169.1499939,169.1499939,22086800
META,9/12/22,167.389999,171.3899994,167.2799988,168.9600067,168.9600067,23220400
META,9/13/22,161.539993,161.6300049,152.6699982,153.1300049,153.1300049,44444100
META,9/14/22,153.330002,153.5399933,149.0500031,151.4700012,151.4700012,43064200
META,9/15/22,149.800003,154.1999969,148.6999969,149.5500031,149.5500031,34606300
META,9/16/22,148.050003,148.5800018,144.2899933,146.2899933,146.2899933,40122800
META,9/19/22,145.240005,148.5800018,145.1000061,148.0200043,148.0200043,22169500
META,9/20/22,145.779999,148.8399963,145.2200012,146.0899963,146.0899963,23217400
META,9/21/22,146.389999,149.6000061,142,142.1199951,142.1199951,38338600
