Date,Close,Predictions
2023-01-12,144.3899994,140.6551683252143
2023-01-13,143.8600006,140.6269448988002
2023-01-17,144.1999969,140.74994900915192
2023-01-18,140.4799957,140.50112542193645
2023-01-19,138.7899933,139.9770985124355
2023-01-20,138.1699982,138.78923309415273
2023-01-23,140.1999969,137.37920162316348
2023-01-24,141.0,137.43779239004795
2023-01-25,140.3899994,138.14610247808284
2023-01-26,141.7599945,138.76339400911206
2023-01-27,141.75,138.79891994813386
2023-01-30,141.2700043,139.00119282038455
2023-01-31,141.6600037,139.26723498986945
2023-02-01,142.6999969,139.07981379883825
2023-02-02,142.9400024,139.23635814280465
2023-02-03,140.8600006,139.68602449574172
2023-02-06,140.0299988,139.64609612076708
2023-02-07,138.6900024,138.90712968118626
2023-02-08,139.9900055,138.00851078283927
2023-02-09,140.5700073,137.79554699226736
2023-02-10,142.1699982,138.0371776917659
2023-02-13,144.5099945,138.81201015667727
2023-02-14,144.5599976,139.61708289684475
2023-02-15,144.5599976,140.5737718438452
2023-02-16,144.1799927,140.95763336464515
2023-02-17,144.5700073,140.74907699297566
2023-02-21,142.1499939,140.69049743772771
2023-02-22,142.7599945,140.38135026291175
2023-02-23,140.7100067,139.88746521541273
2023-02-24,139.5299988,139.22708487363857
