Date,Close,Predictions
2023-01-12,144.3899994,148.29532087481323
2023-01-13,143.8600006,160.15379341549672
2023-01-17,144.1999969,160.55077011443785
2023-01-18,140.4799957,154.08276338611762
2023-01-19,138.7899933,156.94543145513393
2023-01-20,138.1699982,163.46328406270274
2023-01-23,140.1999969,164.5126534158962
2023-01-24,141.0,162.07737444008634
2023-01-25,140.3899994,163.0846883958211
2023-01-26,141.7599945,172.46121674175816
2023-01-27,141.75,169.3518669116207
2023-01-30,141.2700043,176.93287561732512
2023-01-31,141.6600037,184.01180602454778
2023-02-01,142.6999969,194.44076787628657
2023-02-02,142.9400024,195.27788349481304
2023-02-03,140.8600006,195.80190407749848
2023-02-06,140.0299988,201.959569235376
2023-02-07,138.6900024,207.8476821698889
2023-02-08,139.9900055,213.01638333537014
2023-02-09,140.5700073,214.99218311277443
2023-02-10,142.1699982,217.1327403176225
2023-02-13,144.5099945,221.47201537302388
2023-02-14,144.5599976,223.0397585688617
2023-02-15,144.5599976,219.8747568922395
2023-02-16,144.1799927,215.77088953582768
2023-02-17,144.5700073,219.85451562051034
2023-02-21,142.1499939,224.46559538154855
2023-02-22,142.7599945,225.19855311293466
2023-02-23,140.7100067,222.94315038092347
2023-02-24,139.5299988,220.82651609124258
